id,name,link
accommodation_dessert_ChIJE7x1ZnCsNTERj8kmL36NT6o,DUC TRONG HOTEL,https://www.google.com/maps/place/DUC+TRONG+HOTEL/data=!4m7!3m6!1s0x3135ac706675bc13:0xaa4f8d7e2f26c98f!8m2!3d21.0293125!4d105.7958125!16s%2Fg%2F1pv0mvvzp!19sChIJE7x1ZnCsNTERj8kmL36NT6o?authuser=0&hl=en&rclk=1
accommodation_ChIJqWTqnxirNTERWu5u_cK1E-Y,Duly's House Âu Cơ,https://www.google.com/maps/place/Duly%27s+House+%C3%82u+C%C6%A1/data=!4m7!3m6!1s0x3135ab189fea64a9:0xe613b5c2fd6eee5a!8m2!3d21.0751384!4d105.8214237!16s%2Fg%2F11sbdq16tw!19sChIJqWTqnxirNTERWu5u_cK1E-Y?authuser=0&hl=en&rclk=1
accommodation_ChIJkTkarvyrNTERCYbl-kniOU0,Dusit Le Palais Tu Hoa Hanoi,https://www.google.com/maps/place/Dusit+Le+Palais+Tu+Hoa+Hanoi/data=!4m10!3m9!1s0x3135abfcae1a3991:0x4d39e249fae58609!5m2!4m1!1i2!8m2!3d21.076366!4d105.8202689!16s%2Fg%2F11y9_6qn3j!19sChIJkTkarvyrNTERCYbl-kniOU0?authuser=0&hl=en&rclk=1
accommodation_ChIJ-49oTHdTNDERZ1Beea4FZ9A,D' villa Hotel Dương Nội,https://www.google.com/maps/place/D%27+villa+Hotel+D%C6%B0%C6%A1ng+N%C3%B4%CC%A3i/data=!4m10!3m9!1s0x313453774c688ffb:0xd06705ae795e5067!5m2!4m1!1i2!8m2!3d20.9783715!4d105.7605937!16s%2Fg%2F11qrvp25f1!19sChIJ-49oTHdTNDERZ1Beea4FZ9A?authuser=0&hl=en&rclk=1
accommodation_ChIJo4twKrWqNTERbJbsqX4bfKU,Ecohome1,https://www.google.com/maps/place/Ecohome1/data=!4m7!3m6!1s0x3135aab52a708ba3:0xa57c1b7ea9ec966c!8m2!3d21.0865176!4d105.7829322!16s%2Fg%2F11bymw4846!19sChIJo4twKrWqNTERbJbsqX4bfKU?authuser=0&hl=en&rclk=1
accommodation_ChIJ74Mke5-rNTERTCUyew4119s,Elegant Mansion 88,https://www.google.com/maps/place/Elegant+Mansion+88/data=!4m10!3m9!1s0x3135ab9f7b2483ef:0xdbd7350e7b32254c!5m2!4m1!1i2!8m2!3d21.058864!4d105.825412!16s%2Fg%2F11khrgt98g!19sChIJ74Mke5-rNTERTCUyew4119s?authuser=0&hl=en&rclk=1
accommodation_ChIJbbVMo_6qNTERj8RYUoN48EQ,Elegant Suites Westlake Serviced Residences,https://www.google.com/maps/place/Elegant+Suites+Westlake+Serviced+Residences/data=!4m10!3m9!1s0x3135aafea34cb56d:0x44f078835258c48f!5m2!4m1!1i2!8m2!3d21.062033!4d105.8247673!16s%2Fg%2F11b6dd88l7!19sChIJbbVMo_6qNTERj8RYUoN48EQ?authuser=0&hl=en&rclk=1
accommodation_ChIJh58unuGrNTERaZVRKFoXb_0,Fairmont Hanoi,https://www.google.com/maps/place/Fairmont+Hanoi/data=!4m10!3m9!1s0x3135abea6384e34d:0xfd6f175a28519569!5m2!4m1!1i2!8m2!3d21.029194!4d105.855781!16s%2Fg%2F11ympg5dd6!19sChIJTeOEY-qrNTERaZVRKFoXb_0?authuser=0&hl=en&rclk=1
accommodation_ChIJRdbNFvP3NDERkebdffefnK0,Flamingo Đại Lải Resort,https://www.google.com/maps/place/Flamingo+%C4%90%E1%BA%A1i+L%E1%BA%A3i+Resort/data=!4m10!3m9!1s0x3134f7f316cdd645:0xad9c9ff77ddde691!5m2!4m1!1i2!8m2!3d21.3436651!4d105.7184447!16s%2Fg%2F11qg34pm_b!19sChIJRdbNFvP3NDERkebdffefnK0?authuser=0&hl=en&rclk=1
accommodation_ChIJiQpgAC70NDERADdiqcbTcbI,FLC Luxury Resort Vĩnh Phúc,https://www.google.com/maps/place/FLC+Luxury+Resort+V%C4%A9nh+Ph%C3%BAc/data=!4m10!3m9!1s0x3134f42e00600a89:0xb271d3c6a9623700!5m2!4m1!1i2!8m2!3d21.1815654!4d105.4893104!16s%2Fg%2F11b7q6rxgc!19sChIJiQpgAC70NDERADdiqcbTcbI?authuser=0&hl=en&rclk=1
