source_id,name,festival_type,province_text,venue_text,source_url,source_list_url,retrieved_at
9267,Chùa Muống,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Dưỡng Mông, xã Ngũ Phúc",https://lehoi.com.vn/lehoi/detail.aspx?id=9267&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9268,Chùa Chuẩn Thừng,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Chuẩn Thừng, xã Kim Đính",https://lehoi.com.vn/lehoi/detail.aspx?id=9268&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9269,Chùa Giải,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phù Tải 2, xã Kim Đính",https://lehoi.com.vn/lehoi/detail.aspx?id=9269&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9270,Đình Giải,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phù Tải 2, xã Kim Đính",https://lehoi.com.vn/lehoi/detail.aspx?id=9270&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9271,Chùa Diên Khánh,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Hải Ninh, xã Kim Tân",https://lehoi.com.vn/lehoi/detail.aspx?id=9271&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9272,Chùa-tháp đá Cửu Phẩm,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Thiên Đông, xã Kim Tân",https://lehoi.com.vn/lehoi/detail.aspx?id=9272&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9273,Chùa Quang Minh,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Thiên Xuân, xã Kim Tân",https://lehoi.com.vn/lehoi/detail.aspx?id=9273&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9274,Chùa Cẩm,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Minh Tiến, xã Đồng Cẩm",https://lehoi.com.vn/lehoi/detail.aspx?id=9274&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9275,Chùa Đống Tổ,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phong Nội, xã Bình Dân",https://lehoi.com.vn/lehoi/detail.aspx?id=9275&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9276,Đền Phú Mỹ Hoa,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phú Nội, xã Bình Dân",https://lehoi.com.vn/lehoi/detail.aspx?id=9276&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9277,Chùa Quang Khánh,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Tân Tạo, xã Bình Dân",https://lehoi.com.vn/lehoi/detail.aspx?id=9277&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9278,Chùa Hưng Long,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Đại Đồng, xã Đồng Cẩm",https://lehoi.com.vn/lehoi/detail.aspx?id=9278&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9279,Chùa Bùi,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Phí Gia, xã Đồng Cẩm",https://lehoi.com.vn/lehoi/detail.aspx?id=9279&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9280,Đình Đồng,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Đồng Xá, xã Đồng Cẩm",https://lehoi.com.vn/lehoi/detail.aspx?id=9280&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
9281,Chùa Vàng,Lễ hội truyền thống,Thành phố Hải Phòng (Hải Dương),"Thôn Bắc Thắng, xã Liên Hòa",https://lehoi.com.vn/lehoi/detail.aspx?id=9281&pageid=5018,https://lehoi.com.vn/lehoi/danhsach.aspx?pageid=5018&month=&action=&quymo=&disan=&type=LEHOITRUYENTHONG&pagenumber=366,2026-07-30T07:50:40.082081+00:00
